ticket,PosixTime,author,newvalue
1,1252509568,sthibaul,"(In [895]) turned into trac ticket
Refs #1
"
1,1253400965,bgoglin,should be done now
2,1254414896,jsquyres,"We agreed not to fix this one.  Only VPATH dist/distcheck will be supported.

As an explanation: complexity really enters the picture because of the docbook integration (where the output files may be in the source tree or the build tree).  Wonkyness ensues."
3,1253858596,bgoglin,"Is ""writing manpages manually"" considered a better solution ? Given that these utils have few command-line options, the manpages won't be very hard to write/maintain manually.

By the way, currently we get the ""lt-"" prefix in the toolname in the auto-generated manpages. We'll have to fix this if we keep using help2man."
3,1253886225,jsquyres,"Yes, it certainly would.  Tell you what, I'll generate them with help2man and then commit the final pages.  Then we'll just manually update from there."
3,1253893449,jsquyres,"(In [1001]) Fixes #3.

Have fixed versions of the man pages for the executables in svn under
the .1in filename pattern.  These files are processed during ""make
all"" to make the corresponding .1 files.  The changes that are added
in are the project name, date, and release version.  This gives
nice/proper headers and footers on the man pages that are specific to
the version that they came from.

This also fixes the issue of having the man pages depend on the
executables, which was causing problems for making nightly tarballs.
"
4,1255890903,bgoglin,"Pavan Balaji works on the MPICH/Hydra port, he would like a way to know when we try to configure hwloc on a non-supported platform. Current configure just warns, we might want to error-out instead (maybe only if some ""strictly-supported"" flag is given) and/or add a #define HAVE_UNSUPPORTED_OS to config.h.
"
4,1255976726,jsquyres,"Adding Pavan to the ticket...

Adding embedded capabilities is in the near future.  I'm open to input here -- I was planning to do something like PLPA here, where you do something like this:

HWLOC_INIT(srcdir, action_on_success, action_on_fail)

This is the pattern we use throughout OMPI's configure m4 mojo; it's also what we did in PLPA.  Pavan -- is that kosher for MPICH2 as well?"
4,1255982700,balaji,"This might or might not work for MPICH2 depending on how the m4 macro is setup. We currently stay away from libtool and just rely on automake/autoconf together with a bunch of our internal scripts. All third-party packages are configured directly and not added as AC_LOCAL_SUBDIRS in our configure.in/ac scripts. See http://trac.mcs.anl.gov/projects/mpich2/browser/mpich2/trunk/src/pm/hydra/configure.in?rev=5480#L346 for example.

Basically, if HWLOC_INIT() relies on any libtool macros, we cannot call it from MPICH2's configure scripts directly. If not, we should be fine."
4,1255984474,jsquyres,"I was planning to pretty much carbon-copy PLPA's setup scheme.  plpa.m4 doesn't use any Libtool macros (its top-level configure.ac does, but an embedded scenario wouldn't use that), but its Makefile.am's do assume the use of Libtool.

How do you handle that in MPICH2?"
4,1255984690,balaji,"We don't use PLPA's configure routines in MPICH2. We directly use the source files. So, we didn't run into this issue earlier."
4,1255984965,jsquyres,"Ok.  So you want to use hwloc's (upcoming) hwloc.m4, in which we'll likely have something like HWLOC_INIT(srcdir, action_on_success, action_on_failure).  I'm guessing that that will be fine for you:

{{{
# Make a hard-stop on failure
HWLOC_INIT([.], [], [AC_MSG_ERROR([hwloc configure failed!])])

# Just set a shell variable indicating success/failure
HWLOC_INIT([.], [hwloc_success=1], [hwloc_success=0])
}}}

If you don't use our Makefile.am's, you should be fine -- you can use whatever your normal build system is.  The question is then just to ensure that you can use our hwloc.m4 output (e.g., any AC_DEFINE's, AM_CONDITIONAL's, etc.).  Do you use Automake, or is that also a no-no?
you can have an AC_MSG_ERROR if you want a hard-stop on failure, or something more benign (e.g., hwloc_success=0)"
4,1255985050,jsquyres,"Oops -- excuse the cut-n-paste error in the last comment (the last phrase was left over and should have been deleted: ""you can have an AC_MSG_ERROR ..."")."
4,1255985772,balaji,"Yes, I believe that'll be sufficient. The MPICH2/Hydra configure can do an HWLOC_INIT(), and if successful, it can call hwloc's actual configure. If you have a pre-release version of hwloc.m4, I'll be happy to test it out to make sure things work as expected.
"
4,1255989029,jsquyres,"Ah -- miscommunication: I meant that HWLOC_INIT() ''is'' effectively hwloc's configure script.  That is, hwloc's configure.ac will essentially be a little setup, calling HWLOC_INIT(), and then a little finalization.  Hence, the intent is that you effectively embed our configure in your configure.

Are you looking to fork/exec hwloc's shell script configure executable directly, and then invoke ""make [target]"" in the hwloc subdirectory?  That should work if you're not looking to embed our configure in yours.  ...or is there something currently broken with that scheme?

(I have no pre-release hwloc.m4 yet -- I was out all week and this still remains on my to-do list)"
4,1255989736,balaji,"That'll work fine as well as long as HWLOC_INIT has none of the libtool macros that are present in hwloc/configure.ac currently. Yes, we are doing a fork/exec of hwloc's configure executable directly (for now)."
4,1255999540,jsquyres,"Ok -- but do you really want to (effectively) run hwloc's configure twice?  Because if you call HWLOC_INIT() and then fork/exec hwloc's configure if HWLOC_INIT runs action_on_success, that's what you'll be doing.

Do you want just a sensible error abort from hwloc's configure if it fails?  E.g., return non-zero status?  That would give you a way to know if it succeeds or fails today, and as your text implies that you might want to embed someday, switching to HWLOC_INIT() in the future could also be possible."
4,1256001835,balaji,"Yes, the configure error'ing out is the easiest as far as MPICH2/Hydra is concerned. However, even if I didn't fork/exec, but instead just called hwloc's configure as a sub-configure, how can I avoid configuring twice, assuming we want to find whether hwloc is supported on that platform at configure time?

An alternative to avoid doing the configure twice is for hwloc to never fail on configure, but to fail in the hwloc init call."
